[Wed Apr 20 14:25:38.896529 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   3. require_once() /home/pc2/vhosts/solarcraft.local/wp-load.php:50, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896534 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   4. require_once() /home/pc2/vhosts/solarcraft.local/wp-config.php:176, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896539 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   5. do_action() /home/pc2/vhosts/solarcraft.local/wp-settings.php:565, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896545 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   6. WP_Hook->do_action() /home/pc2/vhosts/solarcraft.local/wp-includes/plugin.php:474, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896551 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   7. WP_Hook->apply_filters() /home/pc2/vhosts/solarcraft.local/wp-includes/class-wp-hook.php:331, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896558 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   8. YOOtheme\\Wordpress\\FilterLoader->YOOtheme\\Wordpress\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/platform-wordpress/src/FilterLoader.php:23-31}() /home/pc2/vhosts/solarcraft.local/wp-includes/class-wp-hook.php:307, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896565 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   9. YOOtheme\\Application->call() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/platform-wordpress/src/FilterLoader.php:30, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896571 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  10. YOOtheme\\Theme\\Wordpress\\ThemeLoader::setupTheme() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/container/src/Container.php:268, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896578 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  11. YOOtheme\\Application::YOOtheme\\Theme\\Wordpress\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-wordpress/bootstrap.php:20-22}() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-wordpress/src/ThemeLoader.php:47, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896591 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  12. YOOtheme\\Configuration\\Configuration->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-wordpress/bootstrap.php:21, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
